Nivel (pulgadas fraccionarias);Volumen lleno (galones estadounidenses)
38 3/8;3968.08
38 1/2;3985.39
38 5/8;4002.7
38 3/4;4020.02
38 7/8;4037.36
39    ;4054.7
39 1/8;4072.05
39 1/4;4089.41
39 3/8;4106.78
39 1/2;4124.15
39 5/8;4141.54
39 3/4;4158.93
39 7/8;4176.34
40    ;4193.75
40 1/8;4211.17
40 1/4;4228.59
40 3/8;4246.03
40 1/2;4263.47
40 5/8;4280.92
40 3/4;4298.38
40 7/8;4315.85
41    ;4333.32
41 1/8;4350.8
41 1/4;4368.28
41 3/8;4385.78
41 1/2;4403.28
41 5/8;4420.78
41 3/4;4438.3
41 7/8;4455.82
42    ;4473.34
42 1/8;4490.88
42 1/4;4508.41
42 3/8;4525.96
42 1/2;4543.51
42 5/8;4561.07
42 3/4;4578.63
42 7/8;4596.19
43    ;4613.77
43 1/8;4631.34
43 1/4;4648.93
43 3/8;4666.51
43 1/2;4684.1
43 5/8;4701.7
43 3/4;4719.3
43 7/8;4736.91
44    ;4754.52
44 1/8;4772.13
44 1/4;4789.75
44 3/8;4807.38
44 1/2;4825
44 5/8;4842.63
44 3/4;4860.27
44 7/8;4877.9
45    ;4895.55
45 1/8;4913.19
45 1/4;4930.84
45 3/8;4948.49
45 1/2;4966.14
45 5/8;4983.8
45 3/4;5001.46
45 7/8;5019.12
46    ;5036.78
46 1/8;5054.45
46 1/4;5072.12
46 3/8;5089.79
46 1/2;5107.46
46 5/8;5125.14
46 3/4;5142.81
46 7/8;5160.49
47    ;5178.17
47 1/8;5195.85
47 1/4;5213.53
47 3/8;5231.22
47 1/2;5248.9
47 5/8;5266.59
47 3/4;5284.27
47 7/8;5301.96
48    ;5319.65
48 1/8;5337.34
48 1/4;5355.03
48 3/8;5372.71
48 1/2;5390.4
48 5/8;5408.09
48 3/4;5425.78
48 7/8;5443.47
49    ;5461.16
49 1/8;5478.85
49 1/4;5496.53
49 3/8;5514.22
49 1/2;5531.9
49 5/8;5549.59
49 3/4;5567.27
49 7/8;5584.95
50    ;5602.64
50 1/8;5620.32
50 1/4;5637.99
50 3/8;5655.67
50 1/2;5673.34
50 5/8;5691.02
50 3/4;5708.69
50 7/8;5726.36
51    ;5744.02
51 1/8;5761.69
51 1/4;5779.35
51 3/8;5797.01
51 1/2;5814.67
51 5/8;5832.32
51 3/4;5849.97
51 7/8;5867.62
52    ;5885.26
52 1/8;5902.9
52 1/4;5920.54
52 3/8;5938.17
52 1/2;5955.8
52 5/8;5973.43
52 3/4;5991.05
52 7/8;6008.67
53    ;6026.29
53 1/8;6043.9
53 1/4;6061.5
53 3/8;6079.11
53 1/2;6096.7
53 5/8;6114.29
53 3/4;6131.88
53 7/8;6149.46
54    ;6167.04
54 1/8;6184.61
54 1/4;6202.18
54 3/8;6219.74
54 1/2;6237.3
54 5/8;6254.85
54 3/4;6272.39
54 7/8;6289.93
55    ;6307.46
55 1/8;6324.99
55 1/4;6342.51
55 3/8;6360.02
55 1/2;6377.53
55 5/8;6395.03
55 3/4;6412.52
55 7/8;6430.01
56    ;6447.49
56 1/8;6464.96
56 1/4;6482.43
56 3/8;6499.88
56 1/2;6517.34
56 5/8;6534.78
56 3/4;6552.21
56 7/8;6569.64
57    ;6587.06
57 1/8;6604.47
57 1/4;6621.87
57 3/8;6639.27
57 1/2;6656.65
57 5/8;6674.03
57 3/4;6691.4
57 7/8;6708.76
58    ;6726.11
58 1/8;6743.45
58 1/4;6760.78
58 3/8;6778.11
58 1/2;6795.42
58 5/8;6812.72
58 3/4;6830.02
58 7/8;6847.3
59    ;6864.58
59 1/8;6881.84
59 1/4;6899.1
59 3/8;6916.34
59 1/2;6933.57
59 5/8;6950.79
59 3/4;6968.01
59 7/8;6985.21
60    ;7002.4
60 1/8;7019.58
60 1/4;7036.74
60 3/8;7053.9
60 1/2;7071.04
60 5/8;7088.18
60 3/4;7105.3
60 7/8;7122.41
61    ;7139.51
61 1/8;7156.59
61 1/4;7173.66
61 3/8;7190.72
61 1/2;7207.77
61 5/8;7224.81
61 3/4;7241.83
61 7/8;7258.84
62    ;7275.84
62 1/8;7292.82
62 1/4;7309.79
62 3/8;7326.74
62 1/2;7343.69
62 5/8;7360.62
62 3/4;7377.53
62 7/8;7394.43
63    ;7411.32
63 1/8;7428.19
63 1/4;7445.05
63 3/8;7461.89
63 1/2;7478.72
63 5/8;7495.54
63 3/4;7512.34
63 7/8;7529.12
64    ;7545.89
64 1/8;7562.64
64 1/4;7579.38
64 3/8;7596.1
64 1/2;7612.81
64 5/8;7629.5
64 3/4;7646.17
64 7/8;7662.83
65    ;7679.47
65 1/8;7696.1
65 1/4;7712.71
65 3/8;7729.3
65 1/2;7745.88
65 5/8;7762.43
65 3/4;7778.98
65 7/8;7795.5
66    ;7812
66 1/8;7828.49
66 1/4;7844.96
66 3/8;7861.42
66 1/2;7877.85
66 5/8;7894.27
66 3/4;7910.67
66 7/8;7927.04
67    ;7943.41
67 1/8;7959.75
67 1/4;7976.07
67 3/8;7992.37
67 1/2;8008.66
67 5/8;8024.92
67 3/4;8041.17
67 7/8;8057.4
68    ;8073.6
68 1/8;8089.79
68 1/4;8105.95
68 3/8;8122.1
68 1/2;8138.23
68 5/8;8154.33
68 3/4;8170.41
68 7/8;8186.48
69    ;8202.52
69 1/8;8218.54
69 1/4;8234.54
69 3/8;8250.51
69 1/2;8266.47
69 5/8;8282.4
69 3/4;8298.32
69 7/8;8314.2
70    ;8330.07
70 1/8;8345.92
70 1/4;8361.74
70 3/8;8377.54
70 1/2;8393.31
70 5/8;8409.07
70 3/4;8424.8
70 7/8;8440.5
71    ;8456.18
71 1/8;8471.84
71 1/4;8487.48
71 3/8;8503.09
71 1/2;8518.67
71 5/8;8534.23
71 3/4;8549.77
71 7/8;8565.28
72    ;8580.77
72 1/8;8596.23
72 1/4;8611.66
72 3/8;8627.07
72 1/2;8642.46
72 5/8;8657.82
72 3/4;8673.15
72 7/8;8688.45
73    ;8703.73
73 1/8;8718.98
73 1/4;8734.21
73 3/8;8749.41
73 1/2;8764.58
73 5/8;8779.72
73 3/4;8794.84
73 7/8;8809.93
74    ;8824.99
74 1/8;8840.02
74 1/4;8855.03
74 3/8;8870
74 1/2;8884.95
74 5/8;8899.87
74 3/4;8914.76
74 7/8;8929.62
75    ;8944.45
75 1/8;8959.25
75 1/4;8974.02
75 3/8;8988.76
75 1/2;9003.46
75 5/8;9018.14
75 3/4;9032.79
75 7/8;9047.41
76    ;9062
76 1/8;9076.55
76 1/4;9091.07
76 3/8;9105.56
76 1/2;9120.02
76 5/8;9134.45
76 3/4;9148.85
76 7/8;9163.21
77    ;9177.54
77 1/8;9191.83
77 1/4;9206.1
77 3/8;9220.32
77 1/2;9234.52
77 5/8;9248.68
77 3/4;9262.81
